,dtname
506,HYDERABAD
507,JEHANABAD
508,JALANDHAR
509,JALGAON
510,JALNA
511,JALPAIGURI
512,JAMUI
513,JHAJJAR
514,JIND
515,KAITHAL
516,KAPURTHALA
517,KARIMNAGAR
518,KARNAL
519,KATIHAR
520,KHAGARIA
521,BHADRADRI KOTHAGUDEM
522,KINNAUR
523,UKHRUL
524,PHEK
525,KISHANGANJ
526,COOCH BEHAR
527,KOLHAPUR
528,KOLKATA
529,KURUKSHETRA
530,KURUNG KUMEY
531,LAHUL & SPITI
532,LAKHISARAI
533,LATUR
534,LOHIT
535,LOWER DIBANG VALLEY
536,LUDHIANA
537,MADHEPURA
538,MADHUBANI
539,MAHABUBNAGAR
540,MAHRAJGANJ
541,MAHENDRAGARH
542,MALDAH
543,MANSA
544,SIDDIPET
545,NUH
546,MOGA
547,WOKHA
548,SRI MUKTSAR SAHIB
549,MUMBAI
550,MUNGER
551,MURSHIDABAD
552,MUZAFFARPUR
553,NADIA
554,NAGPUR
555,NALANDA
556,NALGONDA
557,NANDED
558,NANDURBAR
559,NASHIK
560,NAWADA
561,SHAHID BHAGAT SINGH NAGAR
562,NIZAMABAD
563,NORTH TWENTY FOUR PARGAN*
564,OSMANABAD
565,PALGHAR
566,PALWAL
567,PANIPAT
568,PAPUM PARE
569,PARBHANI
570,PASHCHIM CHAMPARAN
571,MEDINIPUR WEST
572,PATHANKOT
573,PATIALA
574,PATNA
575,PITHORAGARH
576,PUNE
577,PURBA CHAMPARAN
578,PURNIA
579,PURULIYA
580,RAIGARH
581,RANGA REDDY
582,RATNAGIRI
583,REWARI
584,ROHTAK
585,ROHTAS
586,RUPNAGAR
587,SAHARSA
588,SAMASTIPUR
589,SANGLI
590,SANGRUR
591,SARAN
592,SAHIBZADA AJIT SINGH NAG*
593,SATARA
594,SENAPATI
595,SHEIKHPURA
596,SHEOHAR
597,SINDHUDURG
598,SIRSA
599,SITAMARHI
600,SIWAN
601,SOLAPUR
602,SONIPAT
603,SOUTH TWENTY FOUR PARGANA
604,MUMBAI SUBURBAN
605,SUPAUL
606,TAMENGLONG
607,TARN TARAN
608,TAWANG
609,THANE
610,THOUBAL
611,TIRAP
612,KAMJONG
613,UPPER SIANG
614,UPPER SUBANSIRI
615,UTTAR DINAJPUR
616,UTTARKASHI
617,VAISHALI
618,MULUGU
619,WARDHA
620,WASHIM
621,WEST KAMENG
622,LOWER SIANG
623,YAMUNANAGAR
624,YAVATMAL
625,DIMAPUR
626,KOHIMA
627,KIPHIRE
628,ZUNHEBOTO
629,MOKOKCHUNG
630,MON
631,TUENSANG
632,JAMMU
633,LOWER SUBANSIRI
634,LONGLENG
635,NONEY
636,PHERZAWL
637,TENGNOUPAL
638,KANGPOKPI
639,KAKCHING
640,CHARKI DADRI
641,JHARGRAM
642,PASCHIM BARDHAMAN
643,KALIMPONG
644,JOGULAMBA GADWAL
645,SIANG
646,WEST SIANG
647,SHI YOMI
648,LEPA RADA
649,PAKKE KESSANG
650,KRA DAADI
651,NAMSAI
652,KAMLE
653,KUMURAM BHEEM ASIFABAD
654,MANCHERIAL
655,NIRMAL
656,KAMAREDDY
657,SANGAREDDY
658,NAGARKURNOOL
659,WANAPARTHY
660,NARAYANPET
661,VIKARABAD
662,MEDCHAL MALKAJGIRI
663,YADADRI BHUVANAGIRI
664,SURYAPET
665,KHAMMAM
666,MAHABUBABAD
667,JANGOAN
668,WARANGAL URBAN
669,WARANGAL RURAL
670,JAYASHANKAR
671,PEDDAPALLI
672,JAGITIAL
673,RAJANNA SIRCILLA
674,MEDAK
675,EAST SIANG
676,LONGDING
677,ARIYALUR
678,CHENGALPATTU
679,CHENNAI
680,COIMBATORE
681,CUDDALORE
682,DHARMAPURI
683,DINDIGUL
684,ERODE
685,KALLAKURICHCHI
686,KANNIYAKUMARI
687,KARUR
688,MADURAI
689,THE NILGIRIS
690,NAMAKKAL
691,PERAMBALUR
692,PUDUKKOTTAI
693,RAMANATHAPURAM
694,RANIPET
695,SALEM
696,SIVAGANGA
697,THENI
698,TENKASI
699,THANJAVUR
700,THIRUVARUR
701,TIRUCHIRAPPALLI
702,TIRUNELVELI
703,TIRUPPUR
704,TIRUPPATTUR
705,THIRUVALLUR
706,TIRUVANNAMALAI
707,THOOTHUKKUDI
708,VELLORE
709,VILUPPURAM
710,VIRUDHUNAGAR
711,KRISHNAGIRI
712,DADRA & NAGAR HAVELI
713,HNAHTHIAL
714,SAITUAL
715,NOKLAK
716,MALERKOTLA
717,NAGAPATTINAM
718,MAYILADUTHURAI
719,VIJAYANAGAR
720,LAKHIMPUR
721,DARRANG
722,CHAMPHAI
723,KHAWZAWL
724,KANCHIPURAM
725,BAJALI
726,EASTERN WEST KHASI HILLS
727,PANCHKULA
728,ALLURI SITHARAMA RAJU
729,ANAKAPALLI
730,ANANTPUR
731,ANNAMAYYA
732,BAPATLA
733,CHITTOOR
734,EAST GODAVARI
735,GUNTUR
736,KAKINADA
737,KONASEEMA
738,KRISHNA
739,KURNOOL
740,NANDYAL
741,NTR
742,PALNADU
743,ELURU
744,PRAKASAM
745,SRI POTTI SRIRAMULU NELL*
746,SRIKAKULAM
747,TIRUPATI
748,VISAKHAPATNAM
749,VIZIANAGARAM
750,WEST GODAVARI
751,Y.S.R.
752,SRI SATHYA SAI
753,PARVATHIPURAM MANYAM
754,SABAR KANTHA
